sss	20.982	79.752	147.342	274.458	625.364	1176.8		sss	69286.4	124676	201941	293279	377422	451630	584441	
fft	20.234	76.42	140.84	261.974	598.436	1123.84		fft	67272.6	121639	196122	289608	373842	442819	571596	
bpp	22.204	85.116	158.472	293.222	667.204	1245.87		bpp	67140.1	121558	198691	296167	384668	461069	605298	
bps	20.36	76.982	141.302	263.078	601.682	1130.87		bps	67595.5	121988	196858	290981	375104	446201	575720	
hf	20.518	77.9	143.088	266.726	609.79	1146.21		hf	68316.8	122985	197818	292360	376918	448868	577249	
mv	28.71	117.402	217.164	403.556	910.43	1679.69		mv	74114.6	133351	219380	328518	419657	490828	607869	
sc	20.888	79.298	146.524	272.524	621.838	1167.21		sc	68879.2	123592	199794	292227	376974	449180	576407	
pca	20.37	77.346	142.234	264.754	604.404	1135.43		pca	67254.9	121701	197807	291862	377296	449587	572812	
is	19.988	75.25	138.454	257.756	588.394	1105.22		is	65309.9	118280	193224	287968	371857	441031	562939	
dsss	21.86	84.89	156.526	291.922	665.174	1246.6		dsss	73629	131013	203780	296578	383923	455490	587155	
hfi	19.914	74.55	137.404	255.496	583.778	1095.46		hfi	65586.4	118962	194329	288840	371286	439521	561605	
wdr	20.026	75.876	139.602	259.634	593.016	1114.14		wdr	66563.3	120182	196050	289606	370954	440003	561862	
