sss	50.396	723.838	724.786	726.682	743.862	780.918		sss	74603.5	122273	163721	162313	135121	123896	123042	
fft	53.76	741.394	742.474	744.224	760.494	794.81		fft	75855.1	121772	157804	163754	149116	150363	191112	
bpp	52.188	724.688	725.716	728.3	752.086	797.74		bpp	72687.7	122398	175680	194492	165665	158947	159857	
bps	51.098	744.806	745.936	747.582	763.654	798		bps	79396	136132	209045	298008	366859	416378	435589	
hf	58.856	778.316	779.55	781.404	797.696	832.858		hf	80638.5	137613	210882	303396	380560	444781	520402	
mv	57.236	819.994	822.81	832.884	887.756	989.276		mv	80294.9	131618	187713	218308	182727	176309	213208	
sc	47.624	701.424	702.564	704.29	721.702	758.946		sc	73874.7	121429	174932	204746	197851	182779	150278	
pca	45.564	677.132	678.448	680.338	697.294	737.326		pca	77309.9	134271	209641	299423	373271	431858	492862	
is	48.19	684.412	685.408	687.044	703.046	736.966		is	73332	127571	199050	275300	308044	313817	298462	
dsss	65.264	897.958	899.878	902.828	924.27	968.602		dsss	81571	123451	143113	115758	98534.1	116185	162103	
hfi	43.488	668.22	669.346	670.836	686.952	720.946		hfi	74413.2	130061	205066	295847	365968	416715	429364	
wdr	46.392	691.134	692.142	693.95	710.014	744.182		wdr	75375.7	131238	206718	295682	364238	416650	462424	
