sss	134681	373348	421003	456873	490859	512401		sss	187248	352319	465744	529509	563388	592353	602612	
fft	120978	337171	385408	423159	460248	483893		fft	168397	311212	416902	486530	530458	575784	594190	
bpp	140799	382693	431293	466933	499660	518127		bpp	222231	355590	446601	506343	543558	580664	596383	
bps	132653	371650	420227	456948	491752	513913		bps	182719	349897	466278	531218	564594	592569	602622	
hf	103939	294582	340322	377297	415941	442245		hf	139376	270821	370835	440467	489638	550567	581152	
mv	109486	300078	342153	377013	414208	439747		mv	168674	273902	359632	427486	479533	546425	579720	
sc	152489	408354	454727	487056	515811	532921		sc	239546	389771	477523	528935	558901	587940	600252	
pca	120409	334278	382553	420544	458114	481896		pca	173259	311146	409289	474886	519427	569859	591544	
is	95819	267274	309196	345123	385091	413600		is	139080	240493	329557	403608	462063	538315	576247	
dsss	157900	421003	465750	498436	528176	547305		dsss	233426	423541	536298	586103	603963	611235	611724	
hfi	96878.7	278926	326145	365132	406201	434595		hfi	121266	252429	359271	434336	486639	550184	581229	
wdr	91012.1	260981	305434	343952	386963	417535		wdr	127975	233892	327576	405653	466229	542803	579700	
