sss	331.314	302628	368179	413440	459253	486701		sss	187248	352319	465744	529509	563388	592352	602584	
fft	344.152	268546	330691	376556	424874	455066		fft	168397	311212	416902	486528	530435	574681	579664	
bpp	705.744	309045	377664	424098	471323	496744		bpp	222231	355590	446601	506343	543558	580659	596259	
bps	314.276	299668	366812	411945	459531	487818		bps	182719	349897	466278	531218	564594	592569	602594	
hf	233.256	229749	287059	330590	377343	409199		hf	139376	270821	370835	440460	489532	549335	573831	
mv	817.02	239552	291976	332395	376530	407539		mv	168674	273902	359631	427475	479418	545127	572152	
sc	598.682	336898	405754	449318	489267	513747		sc	239546	389771	477523	528935	558901	587927	599608	
pca	429.888	265945	326708	373906	421976	453294		pca	173259	311146	409289	474886	519426	569801	588391	
is	695.854	208830	258144	298333	343532	377249		is	139080	240493	329555	403568	461757	532871	542560	
dsss	459.808	353144	418334	460539	499874	525616		dsss	233426	423541	536298	586103	603963	611235	611724	
hfi	196.266	212777	270330	315875	365012	398665		hfi	121266	252429	359271	434330	486533	548899	573698	
wdr	392.83	199341	250713	293793	342181	378670		wdr	127975	233892	327574	405633	466043	537594	544774	
