sss	159924	370940	396445	421999	457065	485391		sss	680181	725793	773651	822168	869623	916612	962789	
fft	131061	305917	328602	351641	383695	409963		fft	593555	641706	694037	749379	806569	868043	936430	
bpp	206431	470608	499896	528975	568471	599907		bpp	814212	852112	887934	919733	946324	968699	987995	
bps	128857	300669	322610	344856	375816	401181		bps	573282	619375	669949	724127	781149	844195	918350	
hf	147566	335830	357016	378323	407804	431820		hf	595225	638626	686454	737952	792438	852756	922923	
mv	177488	392730	410173	427616	451634	471157		mv	606652	641619	680971	724644	772883	829770	903255	
sc	190760	436243	463354	490331	527020	556305		sc	738186	779163	821818	864532	905469	943712	977103	
pca	118028	277366	299591	322218	353825	379857		pca	562156	608991	659791	713631	769932	832352	907470	
is	118051	276317	297380	318838	348859	373595		is	541566	589296	642440	700415	762701	833045	916997	
dsss	150144	349911	374684	399631	434031	461927		dsss	650175	696011	744576	794326	843891	895145	950885	
hfi	105399	248866	269146	289881	319045	343172		hfi	507141	554485	607581	666048	729760	803170	893599	
wdr	118051	276317	297380	318838	348859	373595		wdr	541566	589296	642440	700415	762701	833045	916997	
