sss	329.5	449482	472427	494666	525230	549581		sss	762822	796909	834313	868042	902988	935173	968953	
fft	327.56	386031	407984	429836	459321	481306		fft	691840	732083	773011	815510	858821	904777	954832	
bpp	327.55	535365	560521	587328	620400	645879		bpp	868774	895166	918414	939418	957292	974127	989844	
bps	325.58	373819	395133	415552	443583	466049		bps	656307	693833	735429	777992	823831	873187	932405	
hf	330.096	377801	397944	417082	444016	464265		hf	650191	688075	729630	774003	819645	870409	929559	
mv	330.948	402055	417868	432521	454710	470367		mv	636449	667887	705285	746522	791463	844405	913228	
sc	328.24	523114	547842	569658	600197	625468		sc	813306	843413	875088	903885	931826	959295	985074	
pca	331.378	351728	372440	393131	421216	442635		pca	652345	689736	727575	773762	818719	868073	931074	
is	328.16	355307	376440	396401	422438	444907		is	646919	686659	730330	776723	823511	879774	941515	
dsss	330.112	441921	465650	488209	519304	543660		dsss	739630	772695	809222	844625	880884	918362	961840	
hfi	327.526	324936	345265	364448	391778	412587		hfi	611089	649789	694321	743582	794006	850552	921834	
wdr	325.614	344272	365959	385982	412407	435097		wdr	635886	676605	720728	769198	817905	875792	939272	
