sss	6.002	343470	367993	391853	423919	449389		sss	689415	733297	779056	826664	873593	919809	963841	
fft	6.002	281457	302867	324189	353024	376272		fft	603150	649743	700046	754610	811511	872447	936953	
bpp	6.002	438605	467433	494861	531543	560310		bpp	822145	857986	891692	922418	948323	970021	985718	
bps	6.002	277119	297889	318423	346264	368737		bps	582516	627191	675871	729366	786201	848871	920571	
hf	6.002	312830	333137	353026	379742	401106		hf	603835	645935	692007	742889	797216	857176	925327	
mv	6.016	373816	390712	407007	428823	446127		mv	613535	647559	685592	728896	777208	834058	905708	
sc	6.002	406351	432981	458524	492520	519339		sc	746345	785602	826223	867933	908089	945058	972427	
pca	6.002	253528	274334	295262	323482	346401		pca	571463	616771	665599	718713	774831	836943	910092	
is	6.002	253630	273481	293251	320022	341794		is	551001	597357	648602	705920	768032	837918	918842	
dsss	6.002	323236	346897	370194	401414	426443		dsss	659413	703573	750069	798945	848079	898767	952725	
hfi	6.002	227058	245994	265048	290945	312075		hfi	516476	562485	613692	671526	735130	808146	895489	
wdr	6.002	253630	273481	293251	320022	341794		wdr	551001	597357	648602	705920	768032	837918	918842	
